sentence,intent
I want to buy clothes for Diwali festival,Diwali Festival Shopping
Can you help me find outfits for a party?,Party Outfit Suggestions
What should I wear for a formal event?,Formal Event Attire
Where can I get trendy clothes for summer?,Summer Fashion Shopping
I need to shop for winter coats and jackets,Winter Clothing Shopping
Find me casual outfits for everyday wear,Casual Everyday Outfits
Suggest dresses for a wedding,Wedding Guest Dress Ideas
I'm looking for workout clothes,Gym Wear Recommendations
Show me stylish accessories,Accessories Inspiration
Help me find shoes that match this dress,Christmas
sentence,intent
I want to buy clothes for Diwali festival,Diwali Festival Shopping
Can you help me find outfits for a party?,Party Outfit Suggestions
What should I wear for a formal event?,Formal Event Attire
Where can I get trendy clothes for summer?,Summer Fashion Shopping
I need to shop for winter coats and jackets,Winter Clothing Shopping
Find me casual outfits for everyday wear,Casual Everyday Outfits
Suggest dresses for a wedding,Wedding Guest Dress Ideas
I'm looking for workout clothes,Gym Wear Recommendations
Show me stylish accessories,Accessories Inspiration
Help me find shoes that match this dress,Christmas
Can you recommend clothing stores in New York?,Local Clothing Stores
I want to update my wardrobe,Wardrobe Refresh
Looking for comfortable office wear,Office Attire Suggestions
What are the latest fashion trends?,Fashion Trend Insights
Show me bohemian-style clothing options,Bohemian Fashion Choices
sentence,intent
I want to buy clothes for Diwali festival,Diwali Festival Shopping
Can you help me find outfits for a party?,Party Outfit Suggestions
What should I wear for a formal event?,Formal Event Attire
Where can I get trendy clothes for summer?,Summer Fashion Shopping
I need to shop for winter coats and jackets,Winter Clothing Shopping
Find me casual outfits for everyday wear,Casual Everyday Outfits
Suggest dresses for a wedding,Wedding Guest Dress Ideas
I'm looking for workout clothes,Gym Wear Recommendations
Show me stylish accessories,Accessories Inspiration
Help me find shoes that match this dress,Christmas
Can you recommend clothing stores in New York?,Local Clothing Stores
I want to update my wardrobe,Wardrobe Refresh
Looking for comfortable office wear,Office Attire Suggestions
What are the latest fashion trends?,Fashion Trend Insights
Show me bohemian-style clothing options,Bohemian Fashion Choices
sentence,intent
I want to buy clothes for Diwali festival,Diwali Festival Shopping
Can you help me find outfits for a party?,Party Outfit Suggestions
What should I wear for a formal event?,Formal Event Attire
Where can I get trendy clothes for summer?,Summer Fashion Shopping
I need to shop for winter coats and jackets,Winter Clothing Shopping
Find me casual outfits for everyday wear,Casual Everyday Outfits
Suggest dresses for a wedding,Wedding Guest Dress Ideas
I'm looking for workout clothes,Gym Wear Recommendations
Show me stylish accessories,Accessories Inspiration
Help me find shoes that match this dress,Christmas
Can you recommend clothing stores in New York?,Local Clothing Stores
I want to update my wardrobe,Wardrobe Refresh
Looking for comfortable office wear,Office Attire Suggestions
What are the latest fashion trends?,Fashion Trend Insights
Show me bohemian-style clothing options,Bohemian Fashion Choices
sentence,intent
I want to buy clothes for Diwali festival,Diwali Festival Shopping
Can you help me find outfits for a party?,Party Outfit Suggestions
What should I wear for a formal event?,Formal Event Attire
Where can I get trendy clothes for summer?,Summer Fashion Shopping
I need to shop for winter coats and jackets,Winter Clothing Shopping
Find me casual outfits for everyday wear,Casual Everyday Outfits
Suggest dresses for a wedding,Wedding Guest Dress Ideas
I'm looking for workout clothes,Gym Wear Recommendations
Show me stylish accessories,Accessories Inspiration
Help me find shoes that match this dress,Christmas
Can you recommend clothing stores in New York?,Local Clothing Stores
I want to update my wardrobe,Wardrobe Refresh
Looking for comfortable office wear,Office Attire Suggestions
What are the latest fashion trends?,Fashion Trend Insights
Show me bohemian-style clothing options,Bohemian Fashion Choices
sentence,intent
I want to buy clothes for Diwali festival,Diwali Festival Shopping
Can you help me find outfits for a party?,Party Outfit Suggestions
What should I wear for a formal event?,Formal Event Attire
Where can I get trendy clothes for summer?,Summer Fashion Shopping
I need to shop for winter coats and jackets,Winter Clothing Shopping
Find me casual outfits for everyday wear,Casual Everyday Outfits
