sentence,intent,preprocessed_sentence
I want to buy clothes for Diwali festival,Diwali Festival Shopping,want buy clothes diwali festival
Can you help me find outfits for a party?,Party Outfit Suggestions,help find outfits party
What should I wear for a formal event?,Formal Event Attire,wear formal event
Where can I get trendy clothes for summer?,Summer Fashion Shopping,get trendy clothes summer
I need to shop for winter coats and jackets,Winter Clothing Shopping,need shop winter coats jackets
Find me casual outfits for everyday wear,Casual Everyday Outfits,find casual outfits everyday wear
Suggest dresses for a wedding,Wedding Guest Dress Ideas,suggest dresses wedding
I'm looking for workout clothes,Gym Wear Recommendations,im looking workout clothes
Show me stylish accessories,Accessories Inspiration,show stylish accessories
Help me find shoes that match this dress,Shoe Matching Assistance,help find shoes match dress
sentence,intent,sentence
I want to buy clothes for Diwali festival,Diwali Festival Shopping,want buy clothes diwali festival
Can you help me find outfits for a party?,Party Outfit Suggestions,help find outfits party
What should I wear for a formal event?,Formal Event Attire,wear formal event
Where can I get trendy clothes for summer?,Summer Fashion Shopping,get trendy clothes summer
I need to shop for winter coats and jackets,Winter Clothing Shopping,need shop winter coats jackets
Find me casual outfits for everyday wear,Casual Everyday Outfits,find casual outfits everyday wear
Suggest dresses for a wedding,Wedding Guest Dress Ideas,suggest dresses wedding
I'm looking for workout clothes,Gym Wear Recommendations,im looking workout clothes
Show me stylish accessories,Accessories Inspiration,show stylish accessories
Help me find shoes that match this dress,Shoe Matching Assistance,help find shoes match dress
Can you recommend clothing stores in New York?,Local Clothing Stores,recommend clothing stores new york
I want to update my wardrobe,Wardrobe Refresh,want update wardrobe
Looking for comfortable office wear,Office Attire Suggestions,looking comfortable office wear
What are the latest fashion trends?,Fashion Trend Insights,latest fashion trends
Show me bohemian-style clothing options,Bohemian Fashion Choices,show bohemianstyle clothing options
sentence,intent,sentence
I want to buy clothes for Diwali festival,Diwali Festival Shopping,want buy clothes diwali festival
Can you help me find outfits for a party?,Party Outfit Suggestions,help find outfits party
What should I wear for a formal event?,Formal Event Attire,wear formal event
Where can I get trendy clothes for summer?,Summer Fashion Shopping,get trendy clothes summer
I need to shop for winter coats and jackets,Winter Clothing Shopping,need shop winter coats jackets
Find me casual outfits for everyday wear,Casual Everyday Outfits,find casual outfits everyday wear
Suggest dresses for a wedding,Wedding Guest Dress Ideas,suggest dresses wedding
I'm looking for workout clothes,Gym Wear Recommendations,im looking workout clothes
Show me stylish accessories,Accessories Inspiration,show stylish accessories
Help me find shoes that match this dress,Shoe Matching Assistance,help find shoes match dress
Can you recommend clothing stores in New York?,Local Clothing Stores,recommend clothing stores new york
